,画素値 X 線形,画素値 X ヒストグラム交差,画素値 X 放射基底関数,ヒストグラム X 線形,ヒストグラム X ヒストグラム交差,ヒストグラム X 放射基底関数,Bag of Words X 線形,Bag of Words X ヒストグラム交差,Bag of Words X 放射基底関数
1,30,20,0,50,30,30,0,10,30
2,60,20,0,40,20,20,40,40,30
3,70,50,100,10,20,40,50,30,80
4,53,30,33,33,23,30,30,26,46
